n;area;diff
100;1.26388;0.31936
600;0.858789;0.0857285
1100;0.707064;0.237453
1600;0.868916;0.0756013
2100;0.967584;0.0230668
2600;0.889949;0.0545678
3100;0.991031;0.0465134
3600;0.934405;0.0101119
4100;0.92716;0.0173574
4600;0.948965;0.00444782
5100;0.892149;0.0523682
5600;0.965269;0.020752
6100;0.986558;0.0420405
6600;0.876465;0.0680519
7100;0.91881;0.0257069
7600;1.00675;0.0622356
8100;0.933805;0.010712
8600;0.900993;0.0435239
9100;0.970077;0.0255597
9600;0.97829;0.0337727
10100;0.940448;0.00406899
10600;0.957539;0.0130215
11100;0.955572;0.0110549
11600;0.921927;0.0225905
12100;0.932039;0.0124777
12600;0.95601;0.0114928
13100;0.963308;0.0187906
13600;0.923603;0.0209143
14100;0.957044;0.0125271
14600;0.926932;0.0175848
15100;0.957405;0.0128879
15600;0.947285;0.00276786
16100;0.964967;0.0204501
16600;0.938245;0.0062725
17100;0.946629;0.00211184
17600;0.963928;0.0194105
18100;0.9561;0.0115824
18600;0.980577;0.0360595
19100;0.936583;0.00793446
19600;0.950884;0.00636723
20100;0.973665;0.0291475
20600;0.940121;0.00439608
21100;0.906785;0.0377322
21600;0.930354;0.0141628
22100;0.971334;0.0268166
22600;0.982968;0.038451
23100;0.981894;0.0373765
23600;0.919071;0.0254458
24100;0.951236;0.00671919
24600;0.940202;0.0043155
25100;0.941614;0.00290314
25600;0.932717;0.0117998
26100;0.911124;0.0333929
26600;0.948091;0.00357382
27100;0.934186;0.0103311
27600;0.948965;0.00444782
28100;0.940729;0.00378809
28600;0.934141;0.0103763
29100;0.9809;0.0363829
29600;0.941011;0.00350639
30100;0.945082;0.000564867
30600;0.972531;0.0280141
31100;0.919695;0.0248219
31600;0.939601;0.00491582
32100;0.942532;0.00198488
32600;0.939111;0.00540657
33100;0.954884;0.0103669
33600;0.96498;0.0204627
34100;0.956533;0.0120155
34600;0.933718;0.0107988
35100;0.941745;0.00277182
35600;0.972214;0.0276964
36100;0.937742;0.00677543
36600;0.938744;0.00577324
37100;0.95649;0.0119733
37600;0.945064;0.000546828
38100;0.93802;0.00649693
38600;0.934685;0.00983204
39100;0.956797;0.0122802
39600;0.949136;0.00461861
40100;0.948939;0.00442147
40600;0.943478;0.00103897
41100;0.922775;0.0217422
41600;0.944403;0.000114508
42100;0.938729;0.00578838
42600;0.924744;0.0197732
43100;0.960484;0.0159667
43600;0.945678;0.00116122
44100;0.964939;0.0204213
44600;0.953467;0.00894969
45100;0.93104;0.0134772
45600;0.921471;0.0230463
46100;0.958084;0.0135666
46600;0.966789;0.022272
47100;0.92639;0.0181277
47600;0.940555;0.00396181
48100;0.955842;0.0113244
48600;0.949008;0.00449131
49100;0.946671;0.00215353
49600;0.94438;0.000137125
50100;0.949315;0.00479797
50600;0.965873;0.0213559
51100;0.970501;0.0259841
51600;0.914936;0.0295813
52100;0.92295;0.0215674
52600;0.941162;0.00335528
53100;0.933764;0.0107527
53600;0.94555;0.00103309
54100;0.952086;0.00756925
54600;0.951559;0.00704132
55100;0.918398;0.0261194
55600;0.958749;0.0142323
56100;0.937727;0.00679031
56600;0.927382;0.0171353
57100;0.938331;0.00618634
57600;0.94909;0.00457258
58100;0.953137;0.00862027
58600;0.931732;0.0127848
59100;0.943755;0.000762635
59600;0.922461;0.0220561
60100;0.942125;0.00239206
60600;0.937721;0.00679632
61100;0.939913;0.00460463
61600;0.914291;0.0302261
62100;0.938397;0.00611972
62600;0.937736;0.00678145
63100;0.93277;0.0117468
63600;0.945768;0.00125098
64100;0.926105;0.0184117
64600;0.955508;0.0109912
65100;0.932787;0.0117298
65600;0.931606;0.0129113
66100;0.948239;0.003722
66600;0.952944;0.00842731
67100;0.953957;0.00944024
67600;0.954812;0.0102944
68100;0.947373;0.00285571
68600;0.943444;0.00107318
69100;0.941682;0.00283476
69600;0.9426;0.00191699
70100;0.921869;0.0226479
70600;0.946875;0.00235826
71100;0.95895;0.0144327
71600;0.92822;0.0162976
72100;0.937424;0.00709293
72600;0.95534;0.0108233
73100;0.950535;0.00601778
73600;0.945002;0.000484996
74100;0.939675;0.00484191
74600;0.961006;0.0164886
75100;0.965482;0.0209647
75600;0.953438;0.00892086
76100;0.949218;0.00470056
76600;0.940103;0.00441456
77100;0.920514;0.0240037
77600;0.945403;0.000885365
78100;0.927151;0.0173665
78600;0.936962;0.00755561
79100;0.941486;0.00303095
79600;0.963298;0.0187804
80100;0.970514;0.0259972
80600;0.949295;0.00477822
81100;0.949317;0.00479964
81600;0.938615;0.00590215
82100;0.946398;0.00188124
82600;0.947261;0.00274371
83100;0.942146;0.00237085
83600;0.917905;0.0266127
84100;0.926782;0.0177352
84600;0.952792;0.00827512
85100;0.937598;0.00691942
85600;0.959493;0.0149759
86100;0.946694;0.00217721
86600;0.955711;0.0111935
87100;0.95614;0.0116231
87600;0.931039;0.0134784
88100;0.95235;0.00783279
88600;0.927882;0.0166348
89100;0.935115;0.00940265
89600;0.953008;0.00849085
90100;0.955489;0.0109713
90600;0.939699;0.00481802
91100;0.955459;0.0109415
91600;0.94483;0.000313101
92100;0.95923;0.0147124
92600;0.959615;0.0150975
93100;0.948509;0.00399152
93600;0.940014;0.00450297
94100;0.957233;0.0127154
94600;0.939532;0.00498477
95100;0.94226;0.00225717
95600;0.933976;0.0105413
96100;0.942774;0.00174315
96600;0.924005;0.0205117
97100;0.943578;0.000939336
97600;0.94482;0.000303096
98100;0.95051;0.00599256
98600;0.935337;0.00918066
99100;0.930715;0.0138017
99600;0.942442;0.00207519
