scale;area;diff
1;0.947918;0.00340079
1.1;0.779132;0.165385
1.2;0.660201;0.284316
1.3;0.556019;0.388499
1.4;0.479787;0.46473
1.5;0.418606;0.525911
1.6;0.366311;0.578207
1.7;0.330164;0.614353
1.8;0.29146;0.653057
1.9;0.259552;0.684965
2;0.239612;0.704905
2.1;0.212613;0.731904
2.2;0.196202;0.748315
2.3;0.179053;0.765465
2.4;0.165344;0.779173
2.5;0.150664;0.793853
2.6;0.139872;0.804645
2.7;0.129334;0.815184
2.8;0.121206;0.823311
2.9;0.111746;0.832771
3;0.105777;0.83874
3.1;0.09832;0.846197
3.2;0.0921756;0.852342
3.3;0.0859048;0.858612
3.4;0.0796437;0.864873
3.5;0.0771354;0.867382
3.6;0.0720313;0.872486
3.7;0.0681036;0.876414
3.8;0.065323;0.879194
3.9;0.0621925;0.882325
4;0.0603939;0.884123
4.1;0.0558439;0.888673
4.2;0.0541523;0.890365
4.3;0.0510023;0.893515
4.4;0.0490676;0.89545
4.5;0.047794;0.896723
4.6;0.0451302;0.899387
4.7;0.0436524;0.900865
4.8;0.0415427;0.902974
4.9;0.0406483;0.903869
5;0.0374886;0.907029
5.1;0.0354566;0.909061
5.2;0.0347372;0.90978
5.3;0.0338233;0.910694
5.4;0.0330358;0.911481
5.5;0.0316261;0.912891
5.6;0.029497;0.91502
5.7;0.0295942;0.914923
5.8;0.0288164;0.915701
5.9;0.027572;0.916945
6;0.0272123;0.917305
6.1;0.0252484;0.919269
6.2;0.0241692;0.920348
6.3;0.0231484;0.921369
6.4;0.0237026;0.920815
6.5;0.0228567;0.92166
6.6;0.0213109;0.923206
6.7;0.021204;0.923313
6.8;0.0203095;0.924208
6.9;0.0206693;0.923848
7;0.0200082;0.924509
7.1;0.0190651;0.925452
7.2;0.0183262;0.926191
7.3;0.017529;0.926988
7.4;0.0178401;0.926677
7.5;0.0159151;0.928602
7.6;0.0171012;0.927416
7.7;0.0163915;0.928126
7.8;0.0156332;0.928884
7.9;0.0153513;0.929166
8;0.0145054;0.930012
8.1;0.0142721;0.930245
8.2;0.0135721;0.930945
8.3;0.0135429;0.930974
8.4;0.0127652;0.931752
8.5;0.0133971;0.93112
8.6;0.0127263;0.931791
8.7;0.0131054;0.931412
8.8;0.012561;0.931956
8.9;0.0113749;0.933142
9;0.0118999;0.932617
9.1;0.0116568;0.93286
9.2;0.0112193;0.933298
9.3;0.0111902;0.933327
9.4;0.0110735;0.933444
9.5;0.0104027;0.934115
9.6;0.0101791;0.934338
9.7;0.0101499;0.934367
9.8;0.0101499;0.934367
9.9;0.00930408;0.935213
